Title,Rating,Price
A Light in the Attic,3,51.77
Tipping the Velvet,1,53.74
Soumission,1,50.1
Sharp Objects,4,47.82
Sapiens: A Brief History of Humankind,5,54.23
The Requiem Red,1,22.65
The Dirty Little Secrets of Getting Your Dream Job,4,33.34
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6
The Black Maria,1,52.15
"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99
Shakespeare's Sonnets,4,20.66
Set Me Free,5,17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29
Rip it Up and Start Again,5,35.02
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25
Olio,1,23.88
Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59
Libertarianism for Beginners,2,51.33
It's Only the Himalayas,2,45.17
In Her Wake,1,12.84
How Music Works,2,37.32
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52
Chase Me (Paris Nights #2),5,25.27
Black Dust,5,34.53
Birdsong: A Story in Pictures,3,54.64
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5
Aladdin and His Wonderful Lamp,3,53.13
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,40.3
Wall and Piece,4,44.18
The Four Agreements: A Practical Guide to Personal Freedom,5,17.66
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05
The Elephant Tree,5,23.82
The Bear and the Piano,1,36.89
Sophie's World,5,15.94
Penny Maybe,3,33.29
Maude (1883-1993):She Grew Up with the country,2,18.02
"In a Dark, Dark Wood",1,19.63
Behind Closed Doors,4,52.22
You can't bury them all: Poems,2,33.63
Slow States of Collapse: Poems,3,57.31
Reasons to Stay Alive,2,26.41
Private Paris (Private #10),5,47.61
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11
Without Borders (Wanderlove #1),2,45.07
When We Collided,1,31.77
"We Love You, Charlie Freeman",5,50.27
Untitled Collection: Sabbath Poems 2014,4,14.27
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18
Unicorn Tracks,3,18.78
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,25.52
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,31.12
This One Summer,4,19.49
Thirst,5,17.27
The Torch Is Passed: A Harding Family Story,1,19.09
The Secret of Dreadwillow Carse,1,56.13
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,56.41
The Past Never Ends,4,56.5
The Natural History of Us (The Fine Art of Pretending #2),3,45.22
The Nameless City (The Nameless City #1),4,38.16
The Murder That Never Was (Forensic Instincts #5),3,54.11
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,42.96
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,23.89
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,16.77
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59
The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,37.13
The Electric Pencil: Drawings from Inside State Hospital No. 3,1,56.06
The Death of Humanity: and the Case for Life,4,58.11
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,49.05
The Art Forger,3,40.76
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,19.73
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,41.83
Soul Reader,2,39.58
Security,2,39.25
"Saga, Volume 6 (Saga (Collected Editions) #6)",3,25.02
"Saga, Volume 5 (Saga (Collected Editions) #5)",2,51.04
Reskilling America: Learning to Labor in the Twenty-First Century,2,19.83
